WKT,名称,区域,开放时间,票价信息,说明,CID
POINT (100.5418583 13.6945502),Area Place Hotel,商业圈,,,入住酒店,https://maps.google.com/?cid=12365164409834605025
POINT (100.5329147 13.7446395),暹罗广场,商业圈,全天开放,免费,感受曼谷的繁华,https://maps.google.com/?cid=12143480178791584569
POINT (100.5404554 13.7443437),四面佛 /?Erawan Shrine,商业圈,6:00-22:00,捐赠自愿,祈求平安与好运,https://maps.google.com/?cid=3529163743388898900
POINT (100.5220719 13.7390304),朱拉隆功大学夜市,商业圈,16:00-24:00,免费,品尝泰国地道小吃,https://maps.google.com/?cid=542398312612184710
POINT (100.5391488 13.7465337),尚泰世界购物中心,商业圈,10:00-20:00,免费,享受购物的乐趣,https://maps.google.com/?cid=14171986354817230340
POINT (100.529956 13.7447542),群侨商业中心,商业圈,10:00-24:00,免费,,https://maps.google.com/?cid=4638341614504662750
POINT (100.5282467 13.7235375),王权免税店 / King Power Mahanakhon,商业圈,10:00-24:00,,,https://maps.google.com/?cid=5665740806921291380
POINT (100.5302166 13.746737),曼谷文化艺术中心,商业圈,10:00-20:00,免费（部分展览需门票）,,https://maps.google.com/?cid=2220277415128995083
POINT (100.5344017 13.7457749),暹罗百丽宫 /?Siam paragon,商业圈,10:00-22:00,免费,Karun Thai Tea  探索泰国的时尚与艺术,https://maps.google.com/?cid=11476178565854079331
POINT (100.5302363 13.721862),冲暖诗天桥/暹罗天桥,商业圈,全天开放,免费,体验曼谷的现代都市生活,https://maps.google.com/?cid=10997708320626920927
POINT (100.5413947 13.7439979),LV The Place Bangkok - Louis Vuitton Visionary Journeys,商业圈,,,,https://maps.google.com/?cid=15465912208942252990
POINT (100.5461039 13.7216461),Fran's,商业圈,,,,https://maps.google.com/?cid=17665760364236843215
POINT (100.5393403 13.7460973),Karun Thai Tea Central wOrld,商业圈,,,,https://maps.google.com/?cid=13219760251506064394
POINT (100.5299796 13.7043096),BK SALON,商业圈,,,,https://maps.google.com/?cid=3765603604002501714
POINT (100.534907 13.7568604),Factory Coffee & Brew Bar,商业圈,,,,https://maps.google.com/?cid=2821489783822483826
POINT (100.5430589 13.7374926),Vaso – Spanish Tapas Bar,商业圈,,,曼谷最疯狂餐厅,https://maps.google.com/?cid=9066210728043003163
POINT (100.5462515 13.7420325),Akara Sky Hanuman Bangkok,商业圈,,,,https://maps.google.com/?cid=6533284287355372917
POINT (100.5273656 13.7342148),朱拉50巷泰国厨房,商业圈,11:00-22:00,人均约100-300泰铢,螃蟹肉丝饭,https://maps.google.com/?cid=10178305840772027972
POINT (100.5217804 13.7372013),Here Duan (Banthat Thong),商业圈,10:00-22:00,人均约50-200泰铢,街头美食餐厅,https://maps.google.com/?cid=524935244971962758
POINT (100.5230118 13.7427177),HAAB.BKK Bantadthong,商业圈,12:00-22:00,人均约30-100泰铢,炭烤鸡蛋糕,https://maps.google.com/?cid=13544386317537611806
POINT (100.522717 13.7409451),June Pang,商业圈,11:00-22:00,人均约50-150泰铢,吐司甜品,https://maps.google.com/?cid=15988502256688138198
POINT (100.5222225 13.7396492),Jae Wan,商业圈,未知,人均约50-150泰铢,冰沙甜品,https://maps.google.com/?cid=15793828580509633182
POINT (100.5225179 13.7424996),Jeh O Chula,商业圈,11:00-23:00,人均约50-150泰铢,东炎妈妈面,https://maps.google.com/?cid=15238757142073429372
POINT (100.5413349 13.7436938),Copper Beyond Buffet Gaysorn Amarin,商业圈,,,,https://maps.google.com/?cid=14382095416208227983
POINT (100.5317455 13.7288752),拍蓬街夜市 /?Patpong Night Market,商业圈,,,,https://maps.google.com/?cid=2248929963582137943
POINT (100.5395103 13.7502216),Platinum Fashion Mall,商业圈,,,,https://maps.google.com/?cid=3722288289240081465
POINT (100.5387185 13.7505484),December’s,商业圈,,,,https://maps.google.com/?cid=11504097027391973784
POINT (100.5412192 13.7477784),Moxy Bangkok Ratchaprasong,商业圈,,,Central Location Hotel,https://maps.google.com/?cid=9805438563225025027
POINT (100.5391982 13.7511549),Krungthong Plaza,商业圈,,,大尺码女装时尚衣服?,https://maps.google.com/?cid=2185757565368116517
POINT (100.5307626 13.7246309),Lon Lon Local Diner,商业圈,,,泰式本地餐厅,https://maps.google.com/?cid=16167442728274723089
POINT (100.509947 13.7264814),暹罗天地 ICONSIAM?,曼谷老城区,10:00-22:00,免费,(室内水上市场) 时尚购物与现代艺术的完美结合,https://maps.google.com/?cid=1612497051803357940
